ticket_id,subject,ticket_text,category,sentiment,priority,customer_age_days,previous_tickets,channel
TKT-00020,I need to merge two accounts under the same email.,I need to merge two accounts under the same email. This is extremely urgent and needs immediate attention!,Account Management,urgent,High,1479,8,Chat
TKT-00021,I want to know if this product is compatible with my existin...,I want to know if this product is compatible with my existing setup. This is a critical issue affecting my business operations.,Product & Service,urgent,High,1724,6,Chat
TKT-00022,My profile picture is not updating after I upload a new one.,My profile picture is not updating after I upload a new one. I am very frustrated and need an immediate resolution.,Account Management,urgent,High,2,10,Web Form
TKT-00023,My invoice shows an incorrect amount. Please correct it.,"My invoice shows an incorrect amount. Please correct it. Whenever possible, please assist with this.",Billing & Payments,low,Low,491,1,Chat
TKT-00024,I want to know more about the premium plan features.,I want to know more about the premium plan features. URGENT: Please respond immediately.,Product & Service,urgent,High,1672,2,Chat
TKT-00025,The API integration is returning authentication errors.,The API integration is returning authentication errors. Please let me know how to proceed.,Technical Support,normal,Medium,339,8,Web Form
TKT-00026,My account got locked after too many failed login attempts.,My account got locked after too many failed login attempts. I would appreciate a response soon.,Technical Support,normal,Medium,1461,9,Web Form
TKT-00027,Can I change the primary contact number on my profile?,Can I change the primary contact number on my profile? This is not urgent but I would like it resolved.,Account Management,low,Low,248,7,Chat
TKT-00028,My payment failed but money was deducted from my account.,My payment failed but money was deducted from my account. I am very frustrated and need an immediate resolution.,Billing & Payments,urgent,High,472,7,Email
TKT-00029,My bank says the transaction was declined but I see a charge...,My bank says the transaction was declined but I see a charge. I would appreciate a response soon.,Billing & Payments,normal,Medium,139,1,Phone
TKT-00030,I upgraded my plan but was charged the old rate.,I upgraded my plan but was charged the old rate. URGENT: Please respond immediately.,Billing & Payments,urgent,High,439,4,Web Form
TKT-00031,I cannot reset my password. The reset email never arrives.,I cannot reset my password. The reset email never arrives. Looking forward to your assistance.,Technical Support,normal,Medium,390,3,Email
TKT-00032,My order has been stuck in transit for over a week.,My order has been stuck in transit for over a week. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,1770,1,Email
TKT-00033,I need a copy of my last 3 invoices for tax purposes.,I need a copy of my last 3 invoices for tax purposes. Please look into this at your earliest convenience.,Billing & Payments,normal,Medium,510,6,Chat
TKT-00034,I want to request a feature that is currently not available.,I want to request a feature that is currently not available. I need this resolved TODAY. This is unacceptable.,Product & Service,urgent,High,571,14,Chat
TKT-00035,The discount code I applied was not reflected in my bill.,The discount code I applied was not reflected in my bill. Please address this when you have time.,Billing & Payments,low,Low,201,1,Email
TKT-00036,My auto-renewal failed and now my account is suspended.,My auto-renewal failed and now my account is suspended. I would appreciate a response soon.,Billing & Payments,normal,Medium,341,13,Web Form
TKT-00037,My package was marked as delivered but I never received it.,"My package was marked as delivered but I never received it. No rush, but please help when you get a chance.",Shipping & Delivery,low,Low,338,12,Email
TKT-00038,The delivery address on my order is incorrect. Can it be cha...,The delivery address on my order is incorrect. Can it be changed? This is not urgent but I would like it resolved.,Shipping & Delivery,low,Low,585,13,Web Form
TKT-00039,I keep getting a 500 internal server error on checkout.,I keep getting a 500 internal server error on checkout. Please look into this at your earliest convenience.,Technical Support,normal,Medium,1187,1,Phone
TKT-00040,I was charged twice for my subscription this month.,I was charged twice for my subscription this month. Please let me know how to proceed.,Billing & Payments,normal,Medium,1747,5,Email
TKT-00041,I want to know more about the premium plan features.,"I want to know more about the premium plan features. No rush, but please help when you get a chance.",Product & Service,low,Low,1219,2,Chat
TKT-00042,The tracking number provided is not working on the courier w...,The tracking number provided is not working on the courier website. Please address this when you have time.,Shipping & Delivery,low,Low,505,1,Email
TKT-00043,My order was split into two shipments but I only received on...,My order was split into two shipments but I only received one. Please let me know how to proceed.,Shipping & Delivery,normal,Medium,648,8,Chat
TKT-00044,How do I add a secondary user to my account?,How do I add a secondary user to my account? I would appreciate a response soon.,Account Management,normal,Medium,1376,9,Web Form
TKT-00045,Can I have multiple profiles under one account?,Can I have multiple profiles under one account? Please look into this at your earliest convenience.,Account Management,normal,Medium,20,14,Email
TKT-00046,I upgraded my plan but was charged the old rate.,I upgraded my plan but was charged the old rate. This is a critical issue affecting my business operations.,Billing & Payments,urgent,High,272,11,Email
TKT-00047,The mobile app is not working after the latest update.,The mobile app is not working after the latest update. Looking forward to your assistance.,Technical Support,normal,Medium,1708,9,Email
TKT-00048,I need a replacement for the defective item I received.,"I need a replacement for the defective item I received. No rush, but please help when you get a chance.",Product & Service,low,Low,1799,4,Phone
TKT-00049,My auto-renewal failed and now my account is suspended.,My auto-renewal failed and now my account is suspended. I am very frustrated and need an immediate resolution.,Billing & Payments,urgent,High,319,8,Phone
TKT-00050,The product stopped working after just two weeks of use.,The product stopped working after just two weeks of use. I would appreciate a response soon.,Product & Service,normal,Medium,1408,8,Web Form
TKT-00051,Can I have multiple profiles under one account?,"Can I have multiple profiles under one account? No rush, but please help when you get a chance.",Account Management,low,Low,190,13,Phone
TKT-00052,I was charged twice for my subscription this month.,I was charged twice for my subscription this month. I would appreciate a response soon.,Billing & Payments,normal,Medium,1305,8,Chat
TKT-00053,Can I change the delivery date for my upcoming shipment?,Can I change the delivery date for my upcoming shipment? Please let me know how to proceed.,Shipping & Delivery,normal,Medium,20,3,Email
TKT-00054,The dashboard is showing incorrect data and outdated metrics...,The dashboard is showing incorrect data and outdated metrics. This is a critical issue affecting my business operations.,Technical Support,urgent,High,1193,4,Web Form
TKT-00055,The application crashes every time I try to open it.,The application crashes every time I try to open it. Please look into this at your earliest convenience.,Technical Support,normal,Medium,733,6,Chat
TKT-00056,My payment failed but money was deducted from my account.,My payment failed but money was deducted from my account. Looking forward to your assistance.,Billing & Payments,normal,Medium,1272,4,Chat
TKT-00057,I cannot reset my password. The reset email never arrives.,I cannot reset my password. The reset email never arrives. This is not urgent but I would like it resolved.,Technical Support,low,Low,51,5,Phone
TKT-00058,I was charged for express shipping but it arrived late.,I was charged for express shipping but it arrived late. I would appreciate a response soon.,Shipping & Delivery,normal,Medium,547,5,Email
TKT-00059,My return shipment has not been received by your warehouse.,My return shipment has not been received by your warehouse. URGENT: Please respond immediately.,Shipping & Delivery,urgent,High,456,6,Web Form
TKT-00060,I want to change my username but the option is greyed out.,I want to change my username but the option is greyed out. Just wanted to bring this to your attention.,Account Management,low,Low,457,0,Chat
TKT-00061,My order has been stuck in transit for over a week.,My order has been stuck in transit for over a week. Please look into this at your earliest convenience.,Shipping & Delivery,normal,Medium,1584,8,Phone
TKT-00062,What is the difference between the standard and premium subs...,What is the difference between the standard and premium subscription? Please let me know how to proceed.,Product & Service,normal,Medium,679,0,Email
TKT-00063,I need to transfer my account to a different email.,I need to transfer my account to a different email. Kindly help me resolve this issue.,Account Management,normal,Medium,79,3,Web Form
TKT-00064,How do I download all my data before closing the account?,How do I download all my data before closing the account? Looking forward to your assistance.,Account Management,normal,Medium,1242,3,Web Form
TKT-00065,The product stopped working after just two weeks of use.,The product stopped working after just two weeks of use. Looking forward to your assistance.,Product & Service,normal,Medium,4,6,Phone
TKT-00066,The tracking number provided is not working on the courier w...,"The tracking number provided is not working on the courier website. Whenever possible, please assist with this.",Shipping & Delivery,low,Low,1277,10,Email
TKT-00067,I forgot my security question answer and cannot recover my a...,I forgot my security question answer and cannot recover my account. Looking forward to your assistance.,Account Management,normal,Medium,669,12,Phone
TKT-00068,How do I upgrade from the basic to the professional plan?,How do I upgrade from the basic to the professional plan? URGENT: Please respond immediately.,Product & Service,urgent,High,1388,5,Phone
TKT-00069,Can I change the delivery date for my upcoming shipment?,"Can I change the delivery date for my upcoming shipment? Whenever possible, please assist with this.",Shipping & Delivery,low,Low,588,6,Web Form
TKT-00070,I am not satisfied with the product quality and want a retur...,I am not satisfied with the product quality and want a return. Looking forward to your assistance.,Product & Service,normal,Medium,905,14,Chat
TKT-00071,I want to request a feature that is currently not available.,I want to request a feature that is currently not available. I would appreciate a response soon.,Product & Service,normal,Medium,1350,2,Phone
TKT-00072,How long is the warranty period for this product?,How long is the warranty period for this product? Kindly help me resolve this issue.,Product & Service,normal,Medium,192,7,Phone
TKT-00073,I cannot reset my password. The reset email never arrives.,I cannot reset my password. The reset email never arrives. This is extremely urgent and needs immediate attention!,Technical Support,urgent,High,95,7,Web Form
TKT-00074,The product color I received is different from what I ordere...,The product color I received is different from what I ordered. Looking forward to your assistance.,Product & Service,normal,Medium,849,6,Web Form
TKT-00075,I want to cancel my order before it ships.,I want to cancel my order before it ships. This is extremely urgent and needs immediate attention!,Shipping & Delivery,urgent,High,1538,3,Web Form
TKT-00076,The website is loading very slowly on my browser.,The website is loading very slowly on my browser. Please address this when you have time.,Technical Support,low,Low,952,1,Chat
TKT-00077,The discount code I applied was not reflected in my bill.,The discount code I applied was not reflected in my bill. URGENT: Please respond immediately.,Billing & Payments,urgent,High,1368,10,Web Form
TKT-00078,The product color I received is different from what I ordere...,The product color I received is different from what I ordered. Please let me know how to proceed.,Product & Service,normal,Medium,874,14,Chat
TKT-00079,The item I received was damaged during shipping.,The item I received was damaged during shipping. I would appreciate a response soon.,Shipping & Delivery,normal,Medium,1721,8,Web Form
TKT-00080,My data is not syncing across devices.,My data is not syncing across devices. Kindly help me resolve this issue.,Technical Support,normal,Medium,481,8,Phone
TKT-00081,Can I have multiple profiles under one account?,Can I have multiple profiles under one account? I would appreciate a response soon.,Account Management,normal,Medium,309,7,Web Form
TKT-00082,Video calls keep disconnecting after a few minutes.,Video calls keep disconnecting after a few minutes. URGENT: Please respond immediately.,Technical Support,urgent,High,835,10,Web Form
TKT-00083,My order has not arrived even though it was supposed to be d...,My order has not arrived even though it was supposed to be delivered yesterday. URGENT: Please respond immediately.,Shipping & Delivery,urgent,High,798,0,Web Form
TKT-00084,My order has not arrived even though it was supposed to be d...,"My order has not arrived even though it was supposed to be delivered yesterday. Whenever possible, please assist with this.",Shipping & Delivery,low,Low,1544,12,Web Form
TKT-00085,I need technical specifications for the product I purchased.,I need technical specifications for the product I purchased. Please let me know how to proceed.,Product & Service,normal,Medium,452,15,Chat
TKT-00086,I need to merge two accounts under the same email.,I need to merge two accounts under the same email. Looking forward to your assistance.,Account Management,normal,Medium,689,12,Chat
TKT-00087,Can I pick up my order from a local store instead of home de...,Can I pick up my order from a local store instead of home delivery? I am very frustrated and need an immediate resolution.,Shipping & Delivery,urgent,High,1094,0,Web Form
TKT-00088,I am not satisfied with the product quality and want a retur...,I am not satisfied with the product quality and want a return. Please look into this at your earliest convenience.,Product & Service,normal,Medium,1317,13,Chat
TKT-00089,I received the wrong item in my package.,I received the wrong item in my package. URGENT: Please respond immediately.,Shipping & Delivery,urgent,High,671,6,Web Form
TKT-00090,My account was hacked. Please help me secure it immediately.,My account was hacked. Please help me secure it immediately. Looking forward to your assistance.,Account Management,normal,Medium,570,13,Phone
TKT-00091,The discount code I applied was not reflected in my bill.,The discount code I applied was not reflected in my bill. I am very frustrated and need an immediate resolution.,Billing & Payments,urgent,High,107,11,Chat
TKT-00092,I need to dispute a charge that I don't recognize.,"I need to dispute a charge that I don't recognize. No rush, but please help when you get a chance.",Billing & Payments,low,Low,1545,0,Chat
TKT-00093,The search feature is not returning relevant results.,The search feature is not returning relevant results. I need this resolved TODAY. This is unacceptable.,Technical Support,urgent,High,489,4,Web Form
TKT-00094,Please update my billing address to the new one.,Please update my billing address to the new one. This is not urgent but I would like it resolved.,Billing & Payments,low,Low,1433,8,Phone
TKT-00095,I lost all my saved settings after the system update.,I lost all my saved settings after the system update. Please look into this at your earliest convenience.,Technical Support,normal,Medium,1593,5,Phone
TKT-00096,Please update my billing address to the new one.,Please update my billing address to the new one. This is a critical issue affecting my business operations.,Billing & Payments,urgent,High,1180,12,Web Form
TKT-00097,I cannot log in to my account. It says invalid credentials.,I cannot log in to my account. It says invalid credentials. I would appreciate a response soon.,Technical Support,normal,Medium,209,9,Email
TKT-00098,Can I return a product that was bought during a sale?,Can I return a product that was bought during a sale? I am very frustrated and need an immediate resolution.,Product & Service,urgent,High,878,11,Email
TKT-00099,How long is the warranty period for this product?,How long is the warranty period for this product? Looking forward to your assistance.,Product & Service,normal,Medium,1685,15,Email
TKT-00100,My order has been stuck in transit for over a week.,My order has been stuck in transit for over a week. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,1449,4,Web Form
TKT-00101,Video calls keep disconnecting after a few minutes.,Video calls keep disconnecting after a few minutes. Kindly help me resolve this issue.,Technical Support,normal,Medium,1262,15,Web Form
TKT-00102,My return shipment has not been received by your warehouse.,My return shipment has not been received by your warehouse. Kindly help me resolve this issue.,Shipping & Delivery,normal,Medium,661,7,Email
TKT-00103,Can I have multiple profiles under one account?,Can I have multiple profiles under one account? Looking forward to your assistance.,Account Management,normal,Medium,1168,12,Phone
TKT-00104,The discount code I applied was not reflected in my bill.,The discount code I applied was not reflected in my bill. Just wanted to bring this to your attention.,Billing & Payments,low,Low,999,6,Phone
TKT-00105,My account was hacked. Please help me secure it immediately.,My account was hacked. Please help me secure it immediately. Please let me know how to proceed.,Account Management,normal,Medium,1437,8,Email
TKT-00106,The product stopped working after just two weeks of use.,The product stopped working after just two weeks of use. URGENT: Please respond immediately.,Product & Service,urgent,High,1001,7,Web Form
TKT-00107,The item I received was damaged during shipping.,The item I received was damaged during shipping. Please look into this at your earliest convenience.,Shipping & Delivery,normal,Medium,603,7,Web Form
TKT-00108,My data is not syncing across devices.,My data is not syncing across devices. Kindly help me resolve this issue.,Technical Support,normal,Medium,970,11,Web Form
TKT-00109,Can I get a demo before purchasing the enterprise plan?,Can I get a demo before purchasing the enterprise plan? Looking forward to your assistance.,Product & Service,normal,Medium,555,9,Phone
TKT-00110,I cannot log in to my account. It says invalid credentials.,I cannot log in to my account. It says invalid credentials. Kindly help me resolve this issue.,Technical Support,normal,Medium,245,5,Chat
TKT-00111,Video calls keep disconnecting after a few minutes.,Video calls keep disconnecting after a few minutes. Please let me know how to proceed.,Technical Support,normal,Medium,1557,9,Email
TKT-00112,My data is not syncing across devices.,My data is not syncing across devices. I need this resolved TODAY. This is unacceptable.,Technical Support,urgent,High,620,0,Chat
TKT-00113,I want to update my email address on the account.,I want to update my email address on the account. Please address this when you have time.,Account Management,low,Low,599,4,Web Form
TKT-00114,Can I get a prorated refund for unused days after cancellati...,Can I get a prorated refund for unused days after cancellation? This is a critical issue affecting my business operations.,Billing & Payments,urgent,High,962,15,Web Form
TKT-00115,I need to transfer my account to a different email.,"I need to transfer my account to a different email. Whenever possible, please assist with this.",Account Management,low,Low,1765,15,Email
TKT-00116,I need a copy of my last 3 invoices for tax purposes.,I need a copy of my last 3 invoices for tax purposes. Please let me know how to proceed.,Billing & Payments,normal,Medium,1290,1,Chat
TKT-00117,I cannot reset my password. The reset email never arrives.,I cannot reset my password. The reset email never arrives. Kindly help me resolve this issue.,Technical Support,normal,Medium,175,7,Email
TKT-00118,Can I return a product that was bought during a sale?,Can I return a product that was bought during a sale? Please let me know how to proceed.,Product & Service,normal,Medium,1620,7,Web Form
TKT-00119,Can I pick up my order from a local store instead of home de...,Can I pick up my order from a local store instead of home delivery? Please let me know how to proceed.,Shipping & Delivery,normal,Medium,879,9,Email
TKT-00120,I need technical specifications for the product I purchased.,I need technical specifications for the product I purchased. I need this resolved TODAY. This is unacceptable.,Product & Service,urgent,High,1282,6,Phone
TKT-00121,I need a refund for the duplicate transaction on my account.,I need a refund for the duplicate transaction on my account. I am very frustrated and need an immediate resolution.,Billing & Payments,urgent,High,154,5,Email
TKT-00122,The item I received was damaged during shipping.,The item I received was damaged during shipping. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,597,1,Chat
TKT-00123,How do I download all my data before closing the account?,How do I download all my data before closing the account? Looking forward to your assistance.,Account Management,normal,Medium,146,7,Phone
TKT-00124,How long is the warranty period for this product?,How long is the warranty period for this product? Just wanted to bring this to your attention.,Product & Service,low,Low,871,3,Chat
TKT-00125,My account got locked after too many failed login attempts.,My account got locked after too many failed login attempts. I would appreciate a response soon.,Technical Support,normal,Medium,147,1,Chat
TKT-00126,Please remove the old payment method from my account.,Please remove the old payment method from my account. Please let me know how to proceed.,Account Management,normal,Medium,592,14,Email
TKT-00127,The courier attempted delivery but I was not home. How do I ...,The courier attempted delivery but I was not home. How do I reschedule? Looking forward to your assistance.,Shipping & Delivery,normal,Medium,558,15,Web Form
TKT-00128,Please update my billing address to the new one.,Please update my billing address to the new one. URGENT: Please respond immediately.,Billing & Payments,urgent,High,1505,10,Phone
TKT-00129,My invoice shows an incorrect amount. Please correct it.,My invoice shows an incorrect amount. Please correct it. I am very frustrated and need an immediate resolution.,Billing & Payments,urgent,High,1203,0,Phone
TKT-00130,The product I received does not match the description on the...,The product I received does not match the description on the website. I would appreciate a response soon.,Product & Service,normal,Medium,964,14,Phone
TKT-00131,I lost all my saved settings after the system update.,I lost all my saved settings after the system update. Looking forward to your assistance.,Technical Support,normal,Medium,187,15,Phone
TKT-00132,My order has been stuck in transit for over a week.,My order has been stuck in transit for over a week. Please look into this at your earliest convenience.,Shipping & Delivery,normal,Medium,1757,5,Phone
TKT-00133,The courier attempted delivery but I was not home. How do I ...,The courier attempted delivery but I was not home. How do I reschedule? Looking forward to your assistance.,Shipping & Delivery,normal,Medium,1667,1,Web Form
TKT-00134,My payment failed but money was deducted from my account.,My payment failed but money was deducted from my account. Please look into this at your earliest convenience.,Billing & Payments,normal,Medium,1583,12,Email
TKT-00135,I want to request a feature that is currently not available.,I want to request a feature that is currently not available. I would appreciate a response soon.,Product & Service,normal,Medium,1062,11,Web Form
TKT-00136,I was charged for express shipping but it arrived late.,I was charged for express shipping but it arrived late. This is a critical issue affecting my business operations.,Shipping & Delivery,urgent,High,1125,4,Phone
TKT-00137,Can I pick up my order from a local store instead of home de...,Can I pick up my order from a local store instead of home delivery? Please look into this at your earliest convenience.,Shipping & Delivery,normal,Medium,60,7,Chat
TKT-00138,I forgot my security question answer and cannot recover my a...,I forgot my security question answer and cannot recover my account. URGENT: Please respond immediately.,Account Management,urgent,High,191,7,Email
TKT-00139,The tracking number provided is not working on the courier w...,The tracking number provided is not working on the courier website. I would appreciate a response soon.,Shipping & Delivery,normal,Medium,1021,9,Phone
TKT-00140,My return shipment has not been received by your warehouse.,My return shipment has not been received by your warehouse. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,500,14,Chat
TKT-00141,My package was marked as delivered but I never received it.,My package was marked as delivered but I never received it. Please address this when you have time.,Shipping & Delivery,low,Low,1529,4,Email
TKT-00142,My profile picture is not updating after I upload a new one.,My profile picture is not updating after I upload a new one. Looking forward to your assistance.,Account Management,normal,Medium,697,8,Email
TKT-00143,How do I download all my data before closing the account?,How do I download all my data before closing the account? Please let me know how to proceed.,Account Management,normal,Medium,1188,15,Chat
TKT-00144,Can I change the delivery date for my upcoming shipment?,Can I change the delivery date for my upcoming shipment? Kindly help me resolve this issue.,Shipping & Delivery,normal,Medium,1131,12,Web Form
TKT-00145,I need to update my company name in the account settings.,I need to update my company name in the account settings. I need this resolved TODAY. This is unacceptable.,Account Management,urgent,High,1172,12,Chat
TKT-00146,My order has not arrived even though it was supposed to be d...,My order has not arrived even though it was supposed to be delivered yesterday. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,1445,12,Web Form
TKT-00147,Two-factor authentication is not sending the OTP to my phone...,Two-factor authentication is not sending the OTP to my phone. Just wanted to bring this to your attention.,Technical Support,low,Low,1029,10,Email
TKT-00148,The tracking number provided is not working on the courier w...,The tracking number provided is not working on the courier website. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,32,4,Web Form
TKT-00149,I cannot log in to my account. It says invalid credentials.,I cannot log in to my account. It says invalid credentials. Kindly help me resolve this issue.,Technical Support,normal,Medium,694,12,Email
TKT-00150,I need to update my company name in the account settings.,I need to update my company name in the account settings. Please let me know how to proceed.,Account Management,normal,Medium,779,10,Web Form
TKT-00151,The product I received does not match the description on the...,The product I received does not match the description on the website. I would appreciate a response soon.,Product & Service,normal,Medium,1293,9,Chat
TKT-00152,I need a copy of my last 3 invoices for tax purposes.,"I need a copy of my last 3 invoices for tax purposes. No rush, but please help when you get a chance.",Billing & Payments,low,Low,909,5,Phone
TKT-00153,I was charged twice for my subscription this month.,I was charged twice for my subscription this month. Please look into this at your earliest convenience.,Billing & Payments,normal,Medium,601,11,Phone
TKT-00154,I received the wrong item in my package.,I received the wrong item in my package. URGENT: Please respond immediately.,Shipping & Delivery,urgent,High,1160,5,Chat
TKT-00155,I cannot log in to my account. It says invalid credentials.,I cannot log in to my account. It says invalid credentials. Looking forward to your assistance.,Technical Support,normal,Medium,1270,7,Web Form
TKT-00156,How do I upgrade from the basic to the professional plan?,How do I upgrade from the basic to the professional plan? This is a critical issue affecting my business operations.,Product & Service,urgent,High,942,8,Email
TKT-00157,Can I pick up my order from a local store instead of home de...,Can I pick up my order from a local store instead of home delivery? Please let me know how to proceed.,Shipping & Delivery,normal,Medium,324,2,Web Form
TKT-00158,Please remove the old payment method from my account.,Please remove the old payment method from my account. Looking forward to your assistance.,Account Management,normal,Medium,1414,8,Web Form
TKT-00159,How do I add a secondary user to my account?,How do I add a secondary user to my account? This is not urgent but I would like it resolved.,Account Management,low,Low,219,7,Web Form
TKT-00160,Can I get a demo before purchasing the enterprise plan?,Can I get a demo before purchasing the enterprise plan? Kindly help me resolve this issue.,Product & Service,normal,Medium,45,12,Phone
TKT-00161,Please update my billing address to the new one.,"Please update my billing address to the new one. No rush, but please help when you get a chance.",Billing & Payments,low,Low,1242,15,Phone
TKT-00162,I lost all my saved settings after the system update.,I lost all my saved settings after the system update. Just wanted to bring this to your attention.,Technical Support,low,Low,1304,6,Phone
TKT-00163,The API integration is returning authentication errors.,The API integration is returning authentication errors. This is extremely urgent and needs immediate attention!,Technical Support,urgent,High,633,14,Email
TKT-00164,Can I get a demo before purchasing the enterprise plan?,Can I get a demo before purchasing the enterprise plan? Please look into this at your earliest convenience.,Product & Service,normal,Medium,605,10,Web Form
TKT-00165,I keep getting a 500 internal server error on checkout.,I keep getting a 500 internal server error on checkout. I am very frustrated and need an immediate resolution.,Technical Support,urgent,High,1795,11,Phone
TKT-00166,My data is not syncing across devices.,My data is not syncing across devices. This is not urgent but I would like it resolved.,Technical Support,low,Low,1652,9,Phone
TKT-00167,The discount code I applied was not reflected in my bill.,The discount code I applied was not reflected in my bill. Just wanted to bring this to your attention.,Billing & Payments,low,Low,1545,7,Web Form
TKT-00168,Can I get a demo before purchasing the enterprise plan?,Can I get a demo before purchasing the enterprise plan? URGENT: Please respond immediately.,Product & Service,urgent,High,29,8,Email
TKT-00169,My order has been stuck in transit for over a week.,My order has been stuck in transit for over a week. Kindly help me resolve this issue.,Shipping & Delivery,normal,Medium,1198,12,Phone
TKT-00170,I want to switch from annual to monthly billing.,I want to switch from annual to monthly billing. This is extremely urgent and needs immediate attention!,Billing & Payments,urgent,High,1269,10,Chat
TKT-00171,I want to switch from annual to monthly billing.,"I want to switch from annual to monthly billing. Whenever possible, please assist with this.",Billing & Payments,low,Low,1330,13,Email
TKT-00172,The application crashes every time I try to open it.,"The application crashes every time I try to open it. Whenever possible, please assist with this.",Technical Support,low,Low,1009,3,Email
TKT-00173,My account got locked after too many failed login attempts.,My account got locked after too many failed login attempts. Looking forward to your assistance.,Technical Support,normal,Medium,930,11,Web Form
TKT-00174,I need technical specifications for the product I purchased.,I need technical specifications for the product I purchased. Looking forward to your assistance.,Product & Service,normal,Medium,1342,3,Web Form
TKT-00175,What is the difference between the standard and premium subs...,"What is the difference between the standard and premium subscription? Whenever possible, please assist with this.",Product & Service,low,Low,68,11,Chat
TKT-00176,The item I received was damaged during shipping.,"The item I received was damaged during shipping. Whenever possible, please assist with this.",Shipping & Delivery,low,Low,204,11,Phone
TKT-00177,I need a copy of my last 3 invoices for tax purposes.,I need a copy of my last 3 invoices for tax purposes. Please look into this at your earliest convenience.,Billing & Payments,normal,Medium,1737,14,Email
TKT-00178,The API integration is returning authentication errors.,The API integration is returning authentication errors. Please look into this at your earliest convenience.,Technical Support,normal,Medium,104,10,Chat
TKT-00179,I cannot reset my password. The reset email never arrives.,I cannot reset my password. The reset email never arrives. Please look into this at your earliest convenience.,Technical Support,normal,Medium,1700,6,Chat
TKT-00180,The mobile app is not working after the latest update.,The mobile app is not working after the latest update. Please let me know how to proceed.,Technical Support,normal,Medium,6,8,Chat
TKT-00181,The dashboard is showing incorrect data and outdated metrics...,The dashboard is showing incorrect data and outdated metrics. I would appreciate a response soon.,Technical Support,normal,Medium,226,0,Chat
TKT-00182,My payment failed but money was deducted from my account.,My payment failed but money was deducted from my account. I would appreciate a response soon.,Billing & Payments,normal,Medium,1206,10,Email
TKT-00183,My data is not syncing across devices.,My data is not syncing across devices. URGENT: Please respond immediately.,Technical Support,urgent,High,1078,3,Email
TKT-00184,The item I received was damaged during shipping.,The item I received was damaged during shipping. Please let me know how to proceed.,Shipping & Delivery,normal,Medium,1216,3,Web Form
